product_url,product_name,product_price,ratings,number_of_reviews,description,product_description,asin,manufacturer
https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00339442N8CI47TVD172&url=%2FCONTACTS-Backpack-Lighweight-Versatile-Charging%2Fdp%2FB085WPWY1W%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653583830%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26psc%3D1&qualifier=1653583830&id=4954866617152809&widgetName=sp_mtf,CONTACTS 15 inch Everyday Laptop Versatile Backpack with USB Charging Port | Multi functional Bagpack (Grey),"₹1,095",3.9 out of 5 stars,646,"[['Structure: The whole backpack is closed with two magnetic buckles, and the main pocket with laptop compartment inside is double zippers closure, the large capacity of the backpack allows for your many stuff. Two side pockets are designed for your bottle. One front zippered pocket with a smaller one are convenient to get your daily personal things'], ['Durable Fabric: Made of 600D Nylon Fabric, CONTACTS Backpack is lightweight, scratch-resistant, splash proof.'], ['Special Functions: With external USB charging port & set-in charging cable, CONTACTS Backpack offer a convenient way for you to charge your electronic device when walking'], ['Multi Function: This backpack is perfect to be a day pack. Perfect for going to school, work, weekend get-away, biking, camping, gym, travel, etc'], ['Multiple Compartments: Total 6 compartments to save your belongs well. Backpack strap is well-padded and adjustable to fit your body. Comfort on your back'], ['Disclaimer: All our products are made from fine materials. Due to the lighting on the photography there may be slight variations in color and texture between pictures & actual product']]",,,
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-12,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹539,4.1 out of 5 stars,"3,302","[['SPACIOUS AND LIGHTWEIGHT: Light weight and spacious 30L Laptop backpack 2 Main Compartment and 1 Front Pocket with Two Side Water Bottle Pocket.'], ['COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Barracks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all boys, girls, men and women.'], ['PREMIUM FABRIC : Polyester, Closure Type: Zipper, Gender: Unisex Size: 46 cm X 33 cm X 20cm.'], ['BACK SUPPORT: Air Mash foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.'], ['OTHER FEATURES: Laptop Compartment (can carry laptops of size 15.6 & 17 inches), Reflective Strip makes it very useful for Bike Riders at Night.']]",,B088B4P6ZW,Martucci
https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-13,"Bennett Mystic 15.6 inch Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Blue)",₹512,4.1 out of 5 stars,"1,727","[['High quality Material: The outside of this laptop bag is made of high quality water Repellent Fabric, high well-pad soft fleece inside,comfortable touch, provide 360°protection for your laptop and various device. Waterproof'], ['Multifunctional lightweight Laptop Sleeve: 2-way to carry: provide a removable shoulder strap,can be use as shoulder bag or handbag base on your need;Hideable handle strap,when hide it, easier to slide to your backpack as a inner bag.It will be a good partner for your daily use or business trip.'], ['Excellent Detail: Use Exquisite zipper,all stress points have been strengthened, make sure the bag does not fall apart when carrying heavy goods.'], ['External Dimensions: 16 x 12 x 3 inch；Internal Dimensions: 16.5 x 11.5 x 2.5 inch.Suitable for 17-17.3 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement).'], [""BENNETT Warranty : Exchange within （3 months） if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.""]]",,,
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-14,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,₹799,4.0 out of 5 stars,"10,519","[['KEY FEATURES - Black Colour Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.'], ['Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide Power Bank with this Bag.'], ['Water Repellent Material - This backpack is made of Water Repellent Material so now you can travel carefree without worrying about water splashes or rain.'], ['Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the backside of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.'], ['WARRANTY- 6 Month Manufacturer Warranty against Defects only. 100% Genuine Fur Jaden Men products, 10 days No Question asked replacement guarantee from the date of delivery.']]",,B078GLXMDY,No
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-15,ADISA Laptop Backpack 31 Ltrs,₹509,4.0 out of 5 stars,"7,140","[['Dimensions: 31 L x 20 W x 47 H cms; Capacity: 36 Liters; Number of Compartments: 4'], ['Laptop Compatibility: Up to 15.6 inchs; Material: Polyester; Water Resistance Level: Water Resistant'], ['Special Features: Adjustable Padded Shoulder Handles; 2 Bottle Holders; Padded Handle'], ['Special Features: Integrated Rain Cover; Outer Material Type: Polyester; Pocket Description: Utility Pocket; Pattern Name: Solid; Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester'], ['Pattern Name: Solid; Pocket Description: Utility Pocket; Lining Description: Polyester; Outer Material Type: Polyester; Special Features: Integrated Rain Cover; Closure Type: Zipper; Age Range Description: Adult']]",,B07G3CG9FC,ADISA
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-16,Lenovo Slim Everyday Backpack,₹799,4.4 out of 5 stars,"1,275","[['Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort'], ['Smooth zippers that never jam or break'], ['Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use'], [""Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials""], ['The padded shoulder straps, handle, and back panel provides protection and all-day comfort.']]",,B08R7RPVJF,Lenovo
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-17,Gear Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201),₹890,4.4 out of 5 stars,"3,987","[['Outer material: synthetic, color: brown'], ['Waterproof'], ['Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)'], ['Number of compartments: 2'], ['Laptop compatibility: yes, laptop size: 16strap type: adjustable'], ['Anti theft waterproof bag with anti sweat fabric on back and shoulder straps'], ['USB and headphone cable slot'], ['External bottle pocket'], ['Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .']]",,B07G4F6XFH,Gear Merchandise PVT LTD
https://www.amazon.in/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&sprefix=ba%2Caps%2C283&sr=8-18,SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),₹299,4.0 out of 5 stars,"8,102","[['Outer Material: Polyester, Color: Denim Blue; Not water resistant'], ['Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)'], ['Number of compartments: 2'], ['Laptop Compatibility: No;There might be minor color variation between actual product and image shown on screen due to lighting on the photography'], ['Closure Type: Drawstring; Age Range Description: Kid; Pocket Description: Utility Pocket'], ['Drawstring, 2 Compartments, Compact Size']]",,B07NSC4SL5,Safari Industries (India) Ltd
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1653583830&smid=A3RXEJKPWRVCLY&sprefix=ba%2Caps%2C283&sr=8-19,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899,3.9 out of 5 stars,"6,150","[['?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner. Size: 20 inch X 13.5 inch X 9.5 inch. Capacity : 48 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects'], ['?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls'], ['?PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop sleeve with holder to secure upto 15.6"" Laptops. Compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft'], ['?1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; ?BEST BACK SUPPORT - We have designed the bag keeping your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Color Name: Black; Pattern Name: Solid; Age Range Description: Adult; Special Features: Laptop Compartment'], ['Pattern Name: Solid; Age Range Description: Adult']]",,B08YZ8FFBZ,"Akshaya Rubbers, Hebbal Industrial Area, Mysore"
https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01093681JACYS0FUH2Y&url=%2FLunars-Bingo-Laptop-Resistant-48L%2Fdp%2FB08YZ8FFBZ%2Fref%3Dsr_1_20_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1653583830%26smid%3DA3RXEJKPWRVCLY%26sprefix%3Dba%252Caps%252C283%26sr%3D8-20-spons%26psc%3D1&qualifier=1653583830&id=4954866617152809&widgetName=sp_btf,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899,3.9 out of 5 stars,"6,150","[['?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner. Size: 20 inch X 13.5 inch X 9.5 inch. Capacity : 48 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects'], ['?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls'], ['?PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop sleeve with holder to secure upto 15.6"" Laptops. Compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft'], ['?1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; ?BEST BACK SUPPORT - We have designed the bag keeping your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Color Name: Black; Pattern Name: Solid; Age Range Description: Adult; Special Features: Laptop Compartment'], ['Pattern Name: Solid; Age Range Description: Adult']]",,B08YZ8FFBZ,"Akshaya Rubbers, Hebbal Industrial Area, Mysore"
